Category,Product Name,Product Description,Vendor Name,Price per Unit,Min Quantity,Max Quantity per Shipment,Earliest Delivery
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Sony,167.7,6,500,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,187.02,6,92,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,172.32,19,392,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",CircuitSphere,46.13,11,61,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,71.49,19,125,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,46.11,6,267,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",CircuitSphere,188.12,5,241,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,46.81,7,353,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",NanoByte Innovations,189.62,3,73,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,58.08,12,230,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Sony,150.82,10,394,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,54.05,2,264,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Samsung,85.17,7,203,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,114.67,15,460,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,156.93,18,74,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,89.56,1,425,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,144.62,1,102,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,198.6,6,374,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,90.71,16,185,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,154.33,12,176,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",CircuitSphere,29.46,16,320,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,154.45,1,424,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,131.9,10,30,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,35.95,13,179,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,35.99,13,96,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Samsung,192.62,10,508,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,153.97,13,317,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,65.01,4,428,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,176.0,2,214,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Samsung,191.99,10,50,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,53.98,12,137,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,106.26,12,109,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",CircuitSphere,122.74,4,378,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Samsung,174.61,16,148,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,103.57,7,503,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,182.3,14,359,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,92.79,5,234,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Samsung,160.68,15,71,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,92.91,3,209,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,187.02,5,189,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,172.9,12,362,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",NanoByte Innovations,160.84,17,481,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",NanoByte Innovations,108.25,9,494,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",NanoByte Innovations,196.54,3,168,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",NanoByte Innovations,94.47,2,317,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",CircuitSphere,46.99,6,276,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Sony,162.08,1,451,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Sony,45.44,18,79,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",NanoByte Innovations,71.23,1,428,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Samsung,186.24,12,93,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",NanoByte Innovations,31.65,8,253,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Samsung,128.04,14,223,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,143.76,4,108,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,91.2,19,200,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,193.37,3,325,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,29.04,7,121,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",CircuitSphere,122.85,7,84,2 weeks
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,NanoByte Innovations,27.03,12,64,Within a day
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Panasonic,123.19,4,439,Within a month
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,LG,35.17,8,402,Within a week
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,CircuitSphere,147.34,14,41,Within a day
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Panasonic,68.05,7,326,Within a month
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,CircuitSphere,170.04,16,194,Within a month
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,NanoByte Innovations,147.66,2,449,2 weeks
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,CircuitSphere,91.09,10,152,Within a day
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,LG,73.0,5,432,2 weeks
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Bosch Electronics,90.49,7,208,2 weeks
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Samsung,84.86,10,127,Within a month
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,LG,45.9,10,349,Within a week
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Panasonic,153.67,11,62,Within a month
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Bosch Electronics,58.53,3,458,2 weeks
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Texas Instruments,109.94,18,214,Within a day
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,ElectroNova Labs,146.93,20,44,Within a day
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Texas Instruments,166.08,20,516,Within a week
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Texas Instruments,120.79,12,284,Within a month
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Bosch Electronics,111.39,19,458,2 weeks
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Texas Instruments,110.93,18,435,Within a week
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Panasonic,56.54,15,146,Within a month
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Bosch Electronics,108.03,1,360,Within a month
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Samsung,152.56,6,141,Within a week
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Bosch Electronics,49.94,16,98,Within a month
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Intel,21.8,10,115,Within a day
Electronics,SSD 1TB (Gen4 NVMe SSD),Gen4 NVMe SSD,Sony,180.43,14,100,2 weeks
